development-plan-document,name,document-url,development-plan-types,organisations,geographies,notes,description,development-policies,entry-date,start-date,end-date
mineral-waste-plan-BRC-RDG-WNM-WOK,Central and Easten Berkshire Joint Minerals and Waste Plan ,https://documents.hants.gov.uk/environment/Regulation19-ProposedSubmissionConsultation-Proposed-Submission-plan.pdf,minerals-plan;waste-plan,local-authority-eng:BRC;local-authority-eng:RDG;local-authority-eng:WNM;local-authority-eng:WOK,E06000036;E06000038;E06000040;E06000041,emerging-submitted to inspector Feb 2021,,,2021-05-12,,2035-12-31
mineral-waste-plan-BKM,Buckinghamshire Minerals and Waste Local Plan ,https://www.buckscc.gov.uk/media/4514370/buckinghamshire-minerals-and-waste-local-plan-2016-2036.pdf,minerals-plan;waste-plan,local-authority-eng:BKM,E10000002,,,,2021-05-12,2016-01-01,2035-12-31
mineral-waste-plan-ESX-xyz,"""East Sussex, South Downs and Brighton and Hove Waste and Minerals Local Plan""",file:///C:/Users/HannahHenderson/Downloads/R-RP01%2020200505%20-%20Public%20Consultation%20R301%20(1).pdf,minerals-plan;waste-plan,local-authority-eng:ESX;national-park-authority:Q20198711;local-authority-eng:BNH,E10000011;E26000010;E06000043,emerging ,,,2021-05-12,2019-01-01,2034-12-31
mineral-waste-plan-HAM-xyz,Hampshire Minerals and Waste Local Plan ,https://documents.hants.gov.uk/mineralsandwaste/HampshireMineralsWastePlanADOPTED.pdf,minerals-plan;waste-plan,local-authority-eng:HAM,E10000014,,,,2021-05-12,2011-01-01,2029-12-31
mineral-waste-plan-KEN-xyz,Kent Minerals and Waste Plan ,https://www.kent.gov.uk/__data/assets/pdf_file/0004/112585/Kent-Minerals-and-Waste-Local-Plan-2013-2030.pdf,minerals-plan;waste-plan,local-authority-eng:KEN,E10000016,adopted september 2020 after early partial review,,,2021-05-12,2013-01-01,2029-12-31
mineral-plan-MIK-xyz,Milton Keynes Minerals Local Plan,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/minerals-policy,minerals-plan,local-authority-eng:MIK,E06000042,,,,2021-05-12,2017-07-01,2032-12-31
waste-plan-MIK-xyz ,Milton Keynes Waste Local Plan ,file:///C:/Users/HannahHenderson/Downloads/Waste%20DPD%20(2).pdf,waste-plan,local-authority-eng:MIK,E06000042,,,,2021-05-12,2007-01-01,2025-12-31
mineral-waste-plan-OXF-xyz,"""Oxfordshire Minerals and Waste Local Plan, Part 1: Core Strategy""",https://www2.oxfordshire.gov.uk/cms/sites/default/files/folders/documents/environmentandplanning/planning/mineralsandwaste/September2017/AdoptedMineralsWasteCoreStrategySept2017.pdf,minerals-plan;waste-plan,local-authority-eng:OXF,E10000025,,,,2021-05-12,2017-09-01,2031-12-31
mineral-plan-SRY-xyz,Surrey Minerals Plan: Core Strategy DPD,https://www.surreycc.gov.uk/__data/assets/pdf_file/0007/81439/Adopted-Core-Strategy-Development-Plan-Document.pdf,minerals-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2011-07-19,2025-12-31
waste-plan-policies-SRY-xyz,Surrey Waste Local Plan: Part 1 Policies ,https://www.surreycc.gov.uk/__data/assets/pdf_file/0003/246882/2020-11-20-SWLP-Part-1-for-Adoption-Final.pdf,waste-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2019-01-01,2032-12-31
waste-plan-sites-SRY-xyz,Surrey Waste Local Plan: Part 2 Sites and Areas of Search ,https://www.surreycc.gov.uk/__data/assets/pdf_file/0005/246884/2020-11-20-SWLP-Part-2-for-Adoption-Final.pdf,waste-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2019-01-01,2032-12-31
mineral-waste-plan-WBK-xyz,West Berkshire Minerals and Waste Local Plan ,https://info.westberks.gov.uk/CHttpHandler.ashx?id=49697&p=0,minerals-plan;waste-plan,local-authority-eng:WBK,E06000037,emerging,,,2021-05-12,2020-01-01,2036-12-31
joint-mineral-plan-WSX-xyz,West Sussex Joint Minerals Local Plan ,http://www2.westsussex.gov.uk/ssr/mlp_adoption.pdf,minerals-plan,local-authority-eng:WSX;national-park-authority:Q20198711,E10000032;E26000010,,,,2021-05-12,2018-01-01,2032-12-31
joint-waste-plan-WSX-xyz,West Sussex Waste Local Plan ,https://www.westsussex.gov.uk/media/3241/waste_local_plan_april2014.pdf,waste-plan,local-authority-eng:WSX;national-park-authority:Q20198711,E10000032;E26000010,,,,2021-05-12,2014-01-01,2030-12-31
local-plan-2-policies-HIL-xyz,Hillingdon Local Plan: Part 2 Development Management Policies,https://www.hillingdon.gov.uk/local-plan,local-plan,local-authority-eng:HIL,E09000017,,,,2021-05-12,2020-01-16,2025-12-31
local-plan-2-sites-HIL-xyz,Hillingdon Local Plan: Part 2 Site allocations,https://www.hillingdon.gov.uk/local-plan,local-plan,local-authority-eng:HIL,E09000017,,,,2021-05-12,2020-01-16,2025-12-31
mineral-plan-RDB-xyz,Redbridge Minerals Local Plan ,https://www.redbridge.gov.uk/media/3367/minerals-local-plan-sept-2012.pdf,minerals-plan,local-authority-eng:RDB,E09000026,,,,2021-05-12,2012-09-01,2021-12-31
joint-waste-plan-east-ldn-RDB-xyz ,Joint Waste Development Plan for the East London Waste Authority Boroughs ,https://www.redbridge.gov.uk/media/3470/joint-waste-dpd-adopted-feb-2012.pdf,waste-plan,local-authority-eng:RDB,E09000026,out of date,,,2021-05-12,2011-01-01,2020-12-31
sites-dev-plan-EAL-xyz,Ealing Development Sites DPD,https://www.ealing.gov.uk/info/201164/local_plans/1491/development_sites_dpd/1,sites-dev-plan,local-authority-eng:EAL,E09000009,,,,2021-05-12,2011-01-01,2025-12-31
west-ldn-waste-plan-xyz,West London Waste Plan ,http://www.wlwp.net/,waste-plan,local-authority-eng:BEN;local-authority-eng:EAL;local-authority-eng:HRW;local-authority-eng:HNS;local-authority-eng:HIL;local-authority-eng:RIC;development-corporation:Q20648596,E09000005;E09000009;E09000015;E09000018;E09000017;E09000027;E51000002,,,,2021-05-12,2014-01-01,2030-12-31
north-ldn-waste-plan-xyz,North London Waste Plan ,https://www.nlwp.net/wp-content/uploads/2021/05/NLWP-Proposed-Submission-Jan-2019-with-track-change-modifications-March-2021.pdf,waste-plan,local-authority-eng:CMD;local-authority-eng:BNE;local-authority-eng:ENF;local-authority-eng:HCK;local-authority-eng:HRY;local-authority-eng:ISL;local-authority-eng:WFT,E09000007;E09000003;E09000010;E09000012;E09000014;E09000019;E09000031,emerging ,,,2021-05-12,2021-01-01,2034-12-31
south-ldn-waste-plan-xyz,South London Waste Plan ,https://www.sutton.gov.uk/downloads/file/4640/s1_draft_south_london_waste_plan,waste-plan,local-authority-eng:CRY;local-authority-eng:STN;local-authority-eng:KTT;local-authority-eng:MRT,E09000008;E09000029;E09000021;E09000024,emerging-submitted Jan 2021,,,2021-05-12,2021-01-01,2035-12-31
