development-plan-document,name,document-url,development-plan-types,organisations,geographies,notes,description,development-policies,entry-date,start-date,end-date
dev-plan-scs-2011,Southwark core strategy,https://www.southwark.gov.uk/assets/attach/1675/1.0.2-DL-Core_Strategy_2011.pdf,local-plan,local-authority-eng:SWK,E09000028,,,sustain-dev-scs-sp1;sustain-trans-scs-sp2;shop-leis-entertain-scs-sp3;learn-enjoy-health-scs-sp4;prov-new-homes-scs-sp5;people-diff-incomes-scs-sp6;fam-homes-scs-sp7;stu-homes-scs-sp8;homes-gyp-trav-scs-sp9;jobs-busi-scs-sp10;open-space-wild-scs-sp11;des-con-scs-sp12;imple-del-scs-sp14,2020-12-04,2010-01-15,2026-04-01
dev-plan-ssp-2007,Saved Southwark plan,https://www.southwark.gov.uk/assets/attach/11989/Saved_Southwark_Plan_policies_and_appendices__strikethrough_version.pdf,local-plan,local-authority-eng:SWK,E09000028,,,emply-opp-ssp-p1.1;strat-loc-indus-locs-ssp-p1.2;employ-sites-off-indus-ssp-p1.4;small-busi-units-ssp-p1.5;live-work-unit-ssp-p1.6;dev-town-local-cen-ssp-p1.7;cou-psf-ssp-p1.9;ssshop-ser-out-town-local-cen--psf-ssp-p1.10;art-cul-tour-ssp-P1.11;hotels-visit-ssp-p1.12;enhance-com-fac-ssp-p2.1;prov-new-com-fac-ssp-P2.2;enhan-educa-estab-ssp-p2.3;educa-def-prov-new-educa-estab-ssp-p2.4;plan-obli-ssp-p2.5;environ-effec-ssp-p3.1;protec-amenity-ssp-p3.2;sustain-assess-ssp-p3.3;energy-eff-ssp-p3.4;air-qual-ssp-p3.6;water-reduc-ssp-p3.7;waste-man-ssp-p3.8;water-ssp-p3.9;haz-subs-ssp-p3.10;eff-use-land-ssp-p3.11;qual-in-des-ssp-p3.12;urb-des-ssp-p3.13;des-out-crime-ssp-p3.14;con-of-the-his-environ-ssp-p3.15;listed-build-ssp-p3.17;set-listed-build-ca-wold-heri-ssp-p3.18;arch-ssp-p3.19;tall-buildl-ssp-p3.20;import-local-viewsssp-p3.22;out-advert-sign-ssp-p3.23;telecoms-dev-under-gen-gpdo-ssp-p3.24;mol-ssp-p3.25;oopl-ssp-p3.26;bio-ssp-p3.27;dev-within-thames-pol-ssp-p3.28;protec-river-facil-ssp-p3.30;flood-def-ssp-p3.31;qual-resi-accom-ssp-p4.2;mix-dwel-ssp-p4.3;aff-hous-ssp-p4.4;wheel-aff-house-ssp-p4.5;loss-resi-accom-ssp-p4.6;non-self-con-hous-identif-user-group-ssp-p4.7;local-dev-ssp-p5.1;strans-impac-ssp-p5.2;walk-cycl-ssp-p5.3;public-trans-improv-ssp-p5.4;car-park-ssp-p5.6;other-park-ssp-p5.8;,2020-12-04,2007-04-01,
dev-plan-nsp-2020,New Southwark plan,https://www.southwark.gov.uk/assets/attach/19868/EIP27A-Proposed-Changes-to-the-submitted-New-Southwark-Plan-2020-Clean-version-.pdf,local-plan,local-authority-eng:SWK,E09000028,,,southwark-dev-targ-nsp-sp1a;southwark-places-nsp-sp1b;quali-aff-homes-nsp-sp1;regen-works-all-nsp-SP2;best-start-in-life-nsp-SP3;string-local-econ-nsp-SP4;health-aactiv-life-nsp-SP5;clean-green-safe-nsp-SP6;soci-rent-inter-housing-nsp-p1;new-fam-homes-nsp-p2;protect-exist-homes-nsp-p3;private-rent-homes-nsp-p4;student-homes-nsp-p5;hous-older-peop-nsp-p6;wheelchair-access-adapt-hous-nsp-p7;house-multi-occ-nsp-p8;support-hous-hostel-nsp-p9;self-cust-build-nsp-p10;homes-travel-gyp-nsp-p11;design-places-nsp-p12;design-qual-nsp-p13;resi-design-nsp-p14;design-out-crime-nsp-p15;tall-build-nsp-p16;effic-use-land-nsp-p17;listed-build-struct-nsp-p18;conserv-area-nsp-p19;conserv-hist-environ-nat-heri-nsp-p20;borough-views-nsp-p21;archaeology-nsp-p22;world-heri-sites-nsp-p23;river-thames-nsp-p24;local-list-nsp-p25;educa-places-nsp-p26;acc-employ-train-nsp-p27;strat-protect-indus-land-nsp-p28;office-busi-dev-nsp-p29;afford-work-nsp-p30;small-shops-nsp-p31;busi-reloc-nsp-p32;rail-arch-nsp-p33;town-local-centres-nsp-p34;devel-outside-town-centre-nsp-p35;protect-shop-front-nsp-p36;shop-out-protect-shop-front-town-loc-centre-nsp-p37;shop-front-nsp-p38;bet-pawn-pay-day-loan-shop-nsp-p39;hotels-other-visitor-accom-nsp-p40;pubs-nsp-p41;out-advert-sign-nsp-p42;broad-digital-infras-nsp-p43;healthy-developments-nsp-p44;leisure-arts-cul-nsp-p45;com-use-nsp-p46;hot-food-take-nsp-p47;public-trans-nsp-p48;high-impact-nsp-p48;walking-nsp-p50;low-line-routes-nsp-p51;cycling-nsp-p52;car-park-nsp-p53;park-stands-disabled-peop-phical-impaie-nsp-p54;protect-amenity-nsp-p55;open-space-nsp-p56;open-water-space-nsp-p57;green-infras-nsp-p58;biodiversity-nsp-p59;trees-nsp-p60;reduc-waste-nsp-p61;land-waste-manage-nsp-p62;contam-land-haz-sub-nsp-p63;improv-air-qual-nsp-p64;reduc-noise-pol-enhanc-sound-nsp-p65;reduc-water-use-nsp-p66;reduc-flood-risk-nsp-p67;sustain-stand-nsp-p68;energy-nsp-p69;,2020-12-04,2017-12-01,2033-01-16
dev-plan-aaap-2010,Aylesbury area action plan,https://www.southwark.gov.uk/assets/attach/1647/Aylesbury-AAP-2010.pdf,area-action-plan,local-authority-eng:SWK,E09000028,,,masterplan-aaap-mp1;prop-sites-aaap-mp2;num-of-homes-aaap-bh1;den-dis-of-homes-aaap-bh2;tenure-mix-aaap-bh3;size-of-homes-aaap-bh4;types-of-homes-aaap-bh5;energy-aaap-bh6;sustain-des-con-aaap-bh7;street-layout-aaap-pl1;desi-princip-aaap-pl2;build-blocks-types-lay-aaap-pl3;build-heights-aaap-pl4;open-space-aaap-pl5;child-play-space-aaap-pl6;private-amenity-space-aaap-pl7;burgess-park-aaap-pl8;design-street-aaap-tp1;public-trans-aaap-tp2;parking-aaap-tp3;loc--of-soci-and-com-facil-aaap-com1;oppor-for-new-busi-aaap-com2;health-and-soci-care-aaap-com3;educ-and-learn-aaap-com4;com-space-and-arts-and-cul-aaap-com5;shop-and-retail-aaap-com6;phasing-aaap-d1;infras-fund-aaap-d2;,2020-12-04,2010-01-27,2030-01-27
dev-plan-okraap-2020,Old Kent Road area action plan,http://moderngov.southwark.gov.uk/documents/s92349/Appendix%20A%20Old%20Kent%20Road%20AAP%20December%202020.pdf,area-action-plan,local-authority-eng:SWK,E09000028,,,masterplan-okraap-aap1;quali-afford-hous-okraap-aap2;climate-emerg-okraap-aap3;quali-afford-homes-okraap-aap4;busi-and-workspace-the-bow-tie-strat-okraap-aap5;town-centres-leis-entertain-okraap-aap6;movement-okraap-aap7;tall-build-strat-okraap-aap8;charct-herit-okraap-aap9;design-okraap-aap10;parks-health-street-the-green-beltokraap-aap11;clean-green-safe-okraap-aap12;best-start-in-life-okraap-aap13;child-youth-provis-okraap-aap14;sub-area-site-alloc-okraap-aap15;,2020-12-04,2020-12-01,
dev-plan-pecnunaap-2015,Peckham and Nunhead area action plan,https://www.southwark.gov.uk/assets/attach/1753/Peckham-and-Nunhead-AAP-2014.pdf,area-action-plan,local-authority-eng:SWK,E09000028,,,peckham-town-centre-shopping-pnaap-p1;arts-cult-leis-and-entertain-pnaap-p2;loc-shops-serv-pnaap-p3;hot-food-take-pnaap-p4;markets-pnaap-p5;busi-space-pnaap-p6;com-facil-pnaap-p7;schools-pnaap-p8;health-facil-pnaap-p9;sports-facil-pnaap-p10;active-trav-pnaap-p11;public-trans-pnaap-p12;road-net-pnaap-p13;park-shop-visit-pnaap-p14;resi-park-pnaap-p15;new-homes-pnaap-p16;afford-priv-homes-pnaap-p17;mix-desi-new-homes-pnaap-p18;open-space-sites-import-nature-conserv-pnaap-p19;trees-pnaap-p20;energy-pnaap-p21;waste-water-flood-pol-pnaap-p22;public-realm-pnaap-p23;heri-pnaap-p24;buil-form-pnaap-p25;build-heigh-pnaap-p26;land-use-pnaap-p27;trans-move-pnaap-p28;built-environ-pnaap-p29;natural-environ-pnaap-p30;land-use-pnaap-p31;trans-move-pnaap-p32;built-environ-pnaap-p33;nat-environ-pnaap-p34;land-use-pnaap-p35;trans-move-pnaap-p36;built-environ-pnaap-p37;natu-environ-pnaap-p38;land-use-pnaap-p39;trans-move-pnaap-p40;nat-environ-pnaap-p41;nat-environ-pnaap-p42;land-use-pnaap-p43;trans-move-pnaap-p44;built-environ-pnaap-p45;nat-environ-pnaap-p46;prop-sites-pnaap-p47;pres-fav-sus-devel-pnaap-p48;sec-106-plan-ob-com-infra-levy-pnaap-p49;,2020-12-04,2012-09-12,2028-01-10
dev-plan-cwaap-2015,Canada Water area action plan,https://www.southwark.gov.uk/assets/attach/2386/Canada-Water-Area-Action-Plan-2015.pdf,area-action-plan,local-authority-eng:SWK,E09000028,,,shop-town-centre-cwaap-p1;cafe-rest-town-centre-cwaap-p2;impor-shop-para-cwaap-p3;small-scale-shop-rest-cafe-out-town-centre-cwaap-p4;markets-cwaap-p5;walk-cycl-cwaap-p6;pub-trans-cwaap-p7;vehic-traff-cwaap-p8;park-retail-leis-cwaap-p9;park-resi-dev-core-areacwaap-p10;leis-enter-cwaap-p11;sports-facil-cwaap-p12;arts-cul-tour-cwaap-p13;streets-public-space-cwaap-p14;build-block-cwaap-p15;town-centre-dev-cwaap-p16;build-height-core-area-cwaap-p17;open-space-bio-cwaap-p18;child-play-cwaap-p19;energy-cwaap-p20;new-homes-cwaap-p21;afford-hous-cwaap-p22;fam-homes-cwaap-p23;desn-dev-cwaap-p24;job-busi-cwaap-p25;schools-cwaap-p26;comm-fac-cwaap-p27;early-years-cwaap-p28;health-facil-cwaap-p29;high-educa-stu-hous-cwaap-p30;albion-street-cwaap-p31;lower-road-cwaap-p32;prop-sites-cwaap-p33;s106-plan-obli-com-infras-lev-cwaap-p34;,2020-12-04,2015-11-01,2026-11-01
dev-plan-southwaternp-2020,Southbank and Waterloo neighbourhood plan,http://moderngov.southwark.gov.uk/documents/s89753/Appendix%20A%20SoWN%20Neighbourhood%20Plan%20Final%20Edition.pdf,neighbourhood-plan,local-authority-eng:SWK,E09000028,,,sown-p1;sown-p2;sown-p3;sown-p4;sown-p5;sown-p6;sown-p7;sown-p8;sown-p9;sown-p10;sown-p11;sown-p12;sown-p13;sown-p14;sown-p15;sown-p16;sown-p17;,2020-12-04,2016-11-28,2032-07-15
