endpoint,endpoint-url,parameters,plugin,entry-date,start-date,end-date
ab4dcf8129c2c774eac89816c2890390e80799cc248fc89f7a67eb50c43be0b9,https://raw.githubusercontent.com/digital-land/development-plan-document-collection/main/data/buckinghamshire-development-plan-document.csv,,,2021-01-22,,
5d0613c11c84f82018b1f62fc4694f0c61b9cdd936f393ed1685a058a736dac3,https://raw.githubusercontent.com/digital-land/development-plan-document-collection/main/data/lambeth-development-plan-document.csv,,,2021-02-10,,
25278c3b3f68fa04c760c30e02d56dddd65f7a723c28b1488cf367bd08467c1d,https://raw.githubusercontent.com/digital-land/development-plan-document-collection/main/data/southwark-development-plan-document.csv,,,2021-02-10,,
