resource,bytes,organisations,endpoints,start-date,end-date
21957225f593ecf63a6bef3d1554cc709ca0435f1a7c8c3beff954bcffdfb3ea,,local-authority-eng:BKM,ab4dcf8129c2c774eac89816c2890390e80799cc248fc89f7a67eb50c43be0b9,2021-03-30,
25d7608524d30ef8d6b62ca697926f10698c7cb699d52d539f574fd3ac22b5b0,,,87b3754e109c31b1ad6ab7910f27ca1e1b3ebd28b93af794680a4627cab9f231,2021-03-30,
37236e7dbb9f3899ebf5f7c074827b210937a2a515ca426490dc6d364e087052,,local-authority-eng:BKM,ab4dcf8129c2c774eac89816c2890390e80799cc248fc89f7a67eb50c43be0b9,2021-02-16,2021-03-29
5a2146a11519805b4ecd9f3b954cf4d1578428cada0b3586834de16ccf42756c,,local-authority-eng:LBH,5d0613c11c84f82018b1f62fc4694f0c61b9cdd936f393ed1685a058a736dac3,2021-02-10,
8f0ae171c5207fcf2912950740017578b0084a636371853daffffe2ba102fcd4,,,2211e0a4933eb20d1bca0363995b60db0271021a30c4d7910cb5e85085d2739b,2021-09-22,
d949e93c7f803360311208c92f9246584389e13cb7010fc7d06879b87ea758e7,,local-authority-eng:SWK,25278c3b3f68fa04c760c30e02d56dddd65f7a723c28b1488cf367bd08467c1d,2021-02-10,
