prefix,resource,organisation,value,entity
development-plan-document,,,dev-plan-buc-avdlp,4900000
development-plan-document,,,dev-plan-buc-blp,4900001
development-plan-document,,,dev-plan-buc-bmwlp,4900002
development-plan-document,,,dev-plan-buc-ccs,4900003
development-plan-document,,,dev-plan-buc-clp,4900004
development-plan-document,,,dev-plan-buc-dsa,4900005
development-plan-document,,,dev-plan-buc-sbcs,4900006
development-plan-document,,,dev-plan-buc-sblp,4900007
development-plan-document,,,dev-plan-buc-valp,4900008
development-plan-document,,,dev-plan-buc-wdlp,4900009
development-plan-document,,,neigh-plan-buc-astonabbotsndp,4900010
development-plan-document,,,neigh-plan-buc-astonclintonndp,4900011
development-plan-document,,,neigh-plan-buc-beaconsfieldndp,4900012
development-plan-document,,,neigh-plan-buc-biertonbroughtonndp,4900013
development-plan-document,,,neigh-plan-buc-bledlowcumsaundertonndp,4900014
development-plan-document,,,neigh-plan-buc-buckinghamndp,4900015
development-plan-document,,,neigh-plan-buc-bucklandndp,4900016
development-plan-document,,,neigh-plan-buc-burnhamndp,4900017
development-plan-document,,,neigh-plan-buc-calvertgreenndp,4900018
development-plan-document,,,neigh-plan-buc-chalfontstgilesndp,4900019
development-plan-document,,,neigh-plan-buc-chalfontstpeterndp,4900020
development-plan-document,,,neigh-plan-buc-cheddingtonndp,4900021
development-plan-document,,,neigh-plan-buc-cheshamndp,4900022
development-plan-document,,,neigh-plan-buc-chiltonndp,4900023
development-plan-document,,,neigh-plan-buc-cuddingtonndp,4900024
development-plan-document,,,neigh-plan-buc-dawshillndp,4900025
development-plan-document,,,neigh-plan-buc-denhamndp,4900026
development-plan-document,,,neigh-plan-buc-dintonforduptonndp,4900027
development-plan-document,,,neigh-plan-buc-draytonparslowndp,4900028
development-plan-document,,,neigh-plan-buc-edlesboroughndp,4900029
development-plan-document,,,neigh-plan-buc-farnhamroyalndp,4900030
development-plan-document,,,neigh-plan-buc-fulmerndp,4900031
development-plan-document,,,neigh-plan-buc-gerrardscrossndp,4900032
development-plan-document,,,neigh-plan-buc-granboroughndp,4900033
development-plan-document,,,neigh-plan-buc-greathorwoodndp,4900034
development-plan-document,,,neigh-plan-buc-greatlittlekimblecumilmerndp,4900035
development-plan-document,,,neigh-plan-buc-haddenhamndp,4900036
development-plan-document,,,neigh-plan-buc-haltonndp,4900037
development-plan-document,,,neigh-plan-buc-hedgerleyndp,4900038
development-plan-document,,,neigh-plan-buc-ickfordndp,4900039
development-plan-document,,,neigh-plan-buc-iverndp,4900040
development-plan-document,,,neigh-plan-buc-ivinghoendp,4900041
development-plan-document,,,neigh-plan-buc-longcrendonndp,4900042
development-plan-document,,,neigh-plan-buc-longwickcumilmerndp,4900043
development-plan-document,,,neigh-plan-buc-maidsmoretonndp,4900044
development-plan-document,,,neigh-plan-buc-marshgibbonndp,4900045
development-plan-document,,,neigh-plan-buc-mursleyndp,4900046
development-plan-document,,,neigh-plan-buc-newtonlongvilledndp,4900047
development-plan-document,,,neigh-plan-buc-northmarstonndp,4900048
development-plan-document,,,neigh-plan-buc-padburyndp,4900049
development-plan-document,,,neigh-plan-buc-pitstonendp,4900050
development-plan-document,,,neigh-plan-buc-quaintonndp,4900051
development-plan-document,,,neigh-plan-buc-seergreenndp,4900052
development-plan-document,,,neigh-plan-buc-slaptonndp,4900053
development-plan-document,,,neigh-plan-buc-steepleclaydonndp,4900054
development-plan-document,,,neigh-plan-buc-stewkleyndp,4900055
development-plan-document,,,neigh-plan-buc-stokemandevillendp,4900056
development-plan-document,,,neigh-plan-buc-taplowndp,4900057
development-plan-document,,,neigh-plan-buc-waddesdonndp,4900058
development-plan-document,,,neigh-plan-buc-wendoverndp,4900059
development-plan-document,,,neigh-plan-buc-westburyndp,4900060
development-plan-document,,,neigh-plan-buc-westonturvillendp,4900061
development-plan-document,,,neigh-plan-buc-wingndp,4900062
development-plan-document,,,neigh-plan-buc-wingraverowshamndp,4900063
development-plan-document,,,neigh-plan-buc-winslowndp,4900064
development-plan-document,,,neigh-plan-buc-wooburnbourneendndp,4900065
development-plan-document,,,neigh-plan-buc-worminghallndp,4900066
development-plan-document,,,join-waste-dev-plan-bas-xyz,4900067
development-plan-document,,,waste-dev-plan-bpc-xyz,4900068
development-plan-document,,,mineral-site-plan-bpc-xyz,4900069
development-plan-document,,,mineral-strategy-bpc-xyz,4900070
development-plan-document,,,join-waste-dev-plan-bst-xyz,4900071
development-plan-document,,,mineral-safeguarding-dev-plan-con-xyz,4900072
development-plan-document,,,mineral-plan-dev-xyz,4900073
development-plan-document,,,waste-plan-dev-xyz,4900074
development-plan-document,,,waste-plan-som-xyz,4900075
development-plan-document,,,mineral-plan-som-xyz,4900076
development-plan-document,,,mineral-local-plan-gls-xyz,4900077
development-plan-document,,,waste-strategy-gls-xyz,4900078
development-plan-document,,,min-dev-strat-sws-wil-xyz,4900079
development-plan-document,,,waste-strategy-sws-wil-xyz,4900080
development-plan-document,,,dev-plan-LP-2015,4900081
development-plan-document,,,dev-plan-DRLLP,4900082
development-plan-document,,,neigh-plan-sown,4900083
development-plan-document,,,join-minerals-waste-dev-plan-tvca-xyz,4900084
development-plan-document,,,polices-sites-dev-plan-tcva-xyz,4900085
development-plan-document,,,allocations-policies-dev-plan-CHW-xyz,4900086
development-plan-document,,,mineral-waste-plan-dev-plan-CHE-xyz,4900087
development-plan-document,,,mineral-waste-dev-plan-MAN-xyz,4900088
development-plan-document,,,waste-local-plan-LCR-xyz,4900089
development-plan-document,,,mineral-waste-dev-plan-LAN-XYZ,4900090
development-plan-document,,,mineral-waste-plan-NYK-xyz,4900091
development-plan-document,,,sites-policies-dpd-ROT-xyz,4900092
development-plan-document,,,joint-mineral-plan-ERY-KHL-xyz,4900093
development-plan-document,,,joint-waste-plan-ROT-BNS-DNC-xyz,4900094
development-plan-document,,,minerals-plan-WOR-xyz,4900095
development-plan-document,,,minerals-waste-plan-HRT-xyz,4900096
development-plan-document,,,minerals-plan-STS-xyz,4900097
development-plan-document,,,waste-plan-STS-STE-xyz,4900098
development-plan-document,,,mineral-waste-plan-LEC-xyz,4900099
development-plan-document,,,min-waste-plan-core-strat-LIN-xyz,4900100
development-plan-document,,,min-waste-plan-sites-LIN-xyz,4900101
development-plan-document,,,mineral-waste-plan-NTH-xyz,4900102
development-plan-document,,,mineral-plan-NTT-xyz,4900103
development-plan-document,,,waste-plan-NTT-xyz,4900104
development-plan-document,,,mineral-plan-RUT-xyz,4900105
development-plan-document,,,mineral-waste-plan-BDF-CDF-LUT-xyz,4900106
development-plan-document,,,mineral-waste-plan-emerg-CPCA-xyz,4900107
development-plan-document,,,mineral-waste-plan-CPCA-xyz,4900108
development-plan-document,,,mineral-plan-ESS-xyz,4900109
development-plan-document,,,waste-plan-ESS-xyz,4900110
development-plan-document,,,waste-core-strat-HRT-xyz,4900111
development-plan-document,,,mineral-waste-dpd-NFK-xyz,4900112
development-plan-document,,,mineral-sites-dpd-NFK-xyz,4900113
development-plan-document,,,waste-sites-dpd-NFK-xyz,4900114
development-plan-document,,,mineral-waste-plan-SFK-xyz,4900115
development-plan-document,,,mineral-waste-plan-BRC-RDG-WNM-WOK,4900116
development-plan-document,,,mineral-waste-plan-BKM,4900117
development-plan-document,,,mineral-waste-plan-ESX-xyz,4900118
development-plan-document,,,mineral-waste-plan-HAM-xyz,4900119
development-plan-document,,,mineral-waste-plan-KEN-xyz,4900120
development-plan-document,,,mineral-plan-MIK-xyz,4900121
development-plan-document,,,waste-plan-MIK-xyz,4900122
development-plan-document,,,mineral-waste-plan-OXF-xyz,4900123
development-plan-document,,,mineral-plan-SRY-xyz,4900124
development-plan-document,,,waste-plan-policies-SRY-xyz,4900125
development-plan-document,,,waste-plan-sites-SRY-xyz,4900126
development-plan-document,,,mineral-waste-plan-WBK-xyz,4900127
development-plan-document,,,joint-mineral-plan-WSX-xyz,4900128
development-plan-document,,,joint-waste-plan-WSX-xyz,4900129
development-plan-document,,,local-plan-2-policies-HIL-xyz,4900130
development-plan-document,,,local-plan-2-sites-HIL-xyz,4900131
development-plan-document,,,mineral-plan-RDB-xyz,4900132
