prefix,resource,organisation,value,entity
development-plan-document,,,joint-waste-plan-east-ldn-RDB-xyz,4900133
development-plan-document,,,sites-dev-plan-EAL-xyz,4900134
development-plan-document,,,west-ldn-waste-plan-xyz,4900135
development-plan-document,,,north-ldn-waste-plan-xyz,4900136
development-plan-document,,,south-ldn-waste-plan-xyz,4900137
development-plan-document,,,dev-plan-scs-2011,4900138
development-plan-document,,,dev-plan-ssp-2007,4900139
development-plan-document,,,dev-plan-nsp-2020,4900140
development-plan-document,,,dev-plan-aaap-2010,4900141
development-plan-document,,,dev-plan-okraap-2020,4900142
development-plan-document,,,dev-plan-pecnunaap-2015,4900143
development-plan-document,,,dev-plan-cwaap-2015,4900144
development-plan-document,,,dev-plan-southwaternp-2020,4900145
