development-plan-document,name,description,organisations,development-plan-types,development-policies,document-url,geographies,notes,entry-date,start-date,end-date,slug
dev-plan-LP-2015,Lambeth Adopted Local Plan,Adopted Lambeth Local Plan,local-authority-eng:LBH,local-plan,,https://www.lambeth.gov.uk/sites/default/files/pl-lambeth-local-plan-2015-web.pdf,E09000022,,2020-12-01,2015-09-23,,/development-plan-document/local-authority-eng/LBH/dev-plan-LP-2015
dev-plan-DRLLP,Revised Draft Lambeth Local Plan,Emerging draft Lambeth Local Plan,local-authority-eng:LBH,local-plan,,https://www.lambeth.gov.uk/sites/default/files/pl-draft-revised-lambeth-local-plan-proposed-submission-version-Jan-2020.pdf,E09000022,,2020-12-01,2020-01-31,,/development-plan-document/local-authority-eng/LBH/dev-plan-DRLLP
neigh-plan-sown,Southbank Waterloo Neighbourhood Plan,Made SoWN Neighbourhood Plan,local-authority-eng:LBH,neighbourhood-plan,,https://230cb429-2676-406e-b39e-b4872b764b84.filesusr.com/ugd/613f49_06134c1930264d71aff106e44edff9c1.pdf,E09000022,,2020-12-01,2018-11-08,,/development-plan-document/local-authority-eng/LBH/neigh-plan-sown
